Coefficient,MAE,ExpVar
6.903718767450892,7.30290224937013,0.494998628940275
1.4139371711773732,7.30290224937013,0.494998628940275
8.632598209342483,7.30290224937013,0.494998628940275
2.4424906541753444e-14,7.30290224937013,0.494998628940275
2.6645352591003757e-14,7.30290224937013,0.494998628940275
7.327471962526033e-15,7.30290224937013,0.494998628940275
0.041732817910111145,7.30290224937013,0.494998628940275
0.4529166502949967,7.30290224937013,0.494998628940275
1.0159015716192097,7.30290224937013,0.494998628940275
0.5198554700571077,7.30290224937013,0.494998628940275
1.1288692554438113,7.30290224937013,0.494998628940275
0.24155155587377009,7.30290224937013,0.494998628940275
0.9353100517962418,7.30290224937013,0.494998628940275
0.04140200404419695,7.30290224937013,0.494998628940275
0.08440871073481533,7.30290224937013,0.494998628940275
1.0671567330020173,7.30290224937013,0.494998628940275
0.709178073167943,7.30290224937013,0.494998628940275
2.014751169994128,7.30290224937013,0.494998628940275
0.11654822791818133,7.30290224937013,0.494998628940275
1.1314003965471557,7.30290224937013,0.494998628940275
11.150439765007672,7.30290224937013,0.494998628940275
0.980538718762337,7.30290224937013,0.494998628940275
0.16837749956903308,7.30290224937013,0.494998628940275
0.24155155587377697,7.30290224937013,0.494998628940275
0.0,7.30290224937013,0.494998628940275
0.253905246758408,7.30290224937013,0.494998628940275
