,FAN_ACTUAL
1210,0.6000000000000001
6409,0.5
19240,8.0
1085,17.28
20441,2.5
13290,0.2
8196,14.5
6218,16.5
11548,8.8
12888,-0.2
9936,0.6000000000000001
19061,5.2
18562,1.1
6863,0.0
3379,1.2000000000000002
5554,0.9
22162,1.0
1318,1.3
1769,0.9
13593,34.6
11145,24.48
9585,9.8
8773,6.8000000000000025
21653,1.8
3562,0.1
8079,0.9
130,1.5
16933,0.1
3220,1.8
4880,4.0
15174,7.1000000000000005
4918,6.8000000000000025
14660,3.16
17113,16.1
13086,2.1
1623,3.3000000000000003
17948,6.6000000000000005
20113,1.3
1825,7.1
13212,0.30000000000000004
16799,14.7
16951,16.5
9610,0.8
6876,3.9
13189,0.7000000000000001
4602,15.499999999999998
6664,5.2
9708,1.7000000000000002
13725,-0.1
10739,15.5
17272,1.0
2216,4.0
2995,19.4
3792,0.6000000000000001
10898,8.82
13431,20.6
6455,7.4
7152,40.14
11311,5.7
8698,10.3
15929,1.8
21839,2.4000000000000004
9815,8.0
3940,7.4
12343,8.940000000000003
15423,9.3
4751,3.5
7499,5.300000000000002
5721,1.2000000000000002
10580,6.4
4705,9.7
10062,6.3000000000000025
5379,15.400000000000002
3223,1.6
5943,1.0
7870,13.9
14034,4.4
9239,15.38
20496,1.6
449,1.2000000000000002
2264,3.6000000000000005
21236,5.2
17168,18.4
11263,0.30000000000000004
15541,20.9
21308,1.1
14617,16.400000000000002
535,17.6
13011,2.2
21733,4.4
11193,8.8
1836,6.1
10547,7.0
9913,3.7
11466,10.1
11598,15.0
6448,12.5
1890,4.700000000000001
10884,2.5
5203,1.6
20040,22.9
21034,12.8
19122,8.2
5966,0.30000000000000004
21951,17.92
12319,3.7
17049,0.8
1688,2.2
5516,-1.9
11177,18.1
8139,22.84
15436,24.70000000000001
4614,5.6000000000000005
7285,5.300000000000002
15428,2.9000000000000004
13541,4.2
17221,15.44
18797,9.6
2449,3.0
8091,10.6
5117,10.8
15135,36.42
15110,3.6000000000000005
11305,13.7
4822,5.1000000000000005
8251,9.8
21296,45.24
454,3.8
20629,0.8
20414,7.8000000000000025
16136,15.0
3852,3.1
182,9.7
21471,12.8
12195,0.9
7861,50.8
21932,14.3
13242,5.6000000000000005
21780,1.7
99,8.0
6824,4.9
20193,4.0
3742,7.3599999999999985
7217,2.0
7873,10.1
2764,1.7000000000000002
833,10.4
11724,3.3000000000000003
4787,6.4
1707,0.2
254,2.3000000000000003
14795,0.5
20610,20.840000000000003
1302,0.5
14815,32.0
69,27.56
20052,4.1000000000000005
10819,8.7
6699,0.5
8300,1.3
15279,17.099999999999998
3930,1.2000000000000002
19035,0.4
21140,10.8
11105,5.9
933,3.8
11123,1.6
13285,1.9
14860,16.1
8157,0.1
8409,2.5
19940,4.6000000000000005
20200,3.7
21080,12.7
16238,14.800000000000002
2009,12.5
18542,0.9
12618,14.9
5642,0.2
12844,3.58
2874,0.0
9748,29.5
1037,1.7000000000000002
21160,1.2000000000000002
2704,14.0
4848,9.08
5996,2.5
14600,8.100000000000001
3357,-1.0199999999999998
17479,-2.0
9982,1.5
11423,4.9
18460,20.28
18633,10.3
18569,6.8000000000000025
6983,0.5
12110,0.8
15488,1.5
11467,21.6
20149,6.1
16404,8.740000000000002
5000,13.4
18583,1.9
12064,3.3000000000000003
10772,0.8
13632,1.7000000000000002
1540,15.4
20275,6.3000000000000025
2697,0.8
2286,17.76
4999,7.8000000000000025
16949,5.4
12761,1.4
14667,4.1000000000000005
19647,2.9000000000000004
19899,18.6
16773,9.6
19232,3.2
6417,7.5
13103,27.660000000000004
20289,33.099999999999994
11047,4.7
20767,0.4
18003,4.0
10963,10.1
17716,4.9
9414,2.3
11414,23.4
17945,5.6000000000000005
17873,0.0
18973,10.3
19432,9.6
9507,3.1
11701,6.4
15983,1.9
1333,0.4
8274,9.8
16726,8.5
12557,0.30000000000000004
6659,5.9
1984,0.6000000000000001
13573,9.2
2435,1.7000000000000002
12988,5.4
9701,0.30000000000000004
18097,3.1
10182,0.0
14649,4.1000000000000005
17729,-0.09999999999999988
17281,3.1
9687,1.2000000000000002
6193,19.3
9042,7.9
19658,1.1
3920,8.9
17017,8.100000000000001
5376,18.8
15800,3.9
8285,26.14
5952,1.0
17140,0.9
6075,3.7
9366,6.8000000000000025
12789,1.9
2813,12.8
20041,26.0
536,0.7000000000000001
11668,2.5
1139,6.1000000000000005
17417,1.9000000000000004
4116,3.3000000000000003
6504,0.12000000000000005
468,14.3
9693,0.1
16015,6.6000000000000005
14164,1.3
14633,1.7000000000000002
6835,3.7
6405,0.9
16740,1.0
617,12.7
13198,3.9
1310,2.4000000000000004
11674,7.500000000000001
1012,1.7000000000000002
17837,0.7000000000000001
14126,10.8
5300,5.200000000000001
8151,1.4
3251,18.3
17249,0.9
3547,-0.1
20707,15.2
7685,2.6000000000000005
15290,2.6
17852,1.8
5236,9.0
17900,3.9
8231,4.800000000000002
15907,3.8
9985,1.3
11175,6.0
9451,9.5
2209,1.8
15099,4.2
8255,0.5
289,1.7000000000000002
1121,4.44
2656,18.1
3478,0.5
18899,7.7
5763,-1.0599999999999998
19681,9.3
15604,5.8000000000000025
2657,0.8
4957,5.3
5518,3.9
9051,6.8000000000000025
13311,32.120000000000005
22394,3.1
3526,4.7
19224,-0.30000000000000004
14227,27.22
1835,25.20000000000001
7985,2.3000000000000003
18120,0.5
18719,31.980000000000004
10013,6.8000000000000025
8410,7.5
1042,0.5
20727,16.0
3942,9.1
982,4.1000000000000005
8565,1.7000000000000002
6880,1.320000000000001
9681,2.1
13496,12.9
2596,4.7
16698,0.5
20569,5.8000000000000025
4797,23.5
6628,5.4
4488,9.9
5144,3.9
21465,11.8
377,0.32
357,37.32
19480,9.239999999999998
19855,1.8
19889,8.100000000000001
16525,4.300000000000002
20104,6.4
15959,20.1
10994,0.30000000000000004
5537,1.1
16833,6.7
14200,33.6
6672,11.0
13190,12.1
2234,0.7000000000000001
13744,0.7000000000000002
17681,2.28
15311,1.3
5809,7.7
10826,8.8
21412,1.6
9812,1.7000000000000002
4352,5.8000000000000025
21966,2.1
6348,32.22
6064,9.8
16871,13.2
12300,9.12
6195,5.5
6625,23.76
11913,1.2000000000000002
9000,6.7
8631,9.3
21927,1.8
8704,0.7000000000000001
10029,5.3
7100,11.6
19253,3.6
10980,1.6
2718,8.200000000000001
15120,0.6000000000000001
19599,1.4
1256,2.5
11072,17.82
19511,16.8
5385,15.600000000000005
2640,3.5
4318,1.9
21285,1.2000000000000002
16875,1.3
8628,3.7
2652,10.0
13836,13.1
11805,4.6000000000000005
9357,16.4
6892,2.2
11250,5.0
7602,2.1
6473,16.200000000000006
1336,10.2
19326,19.8
113,27.5
7901,1.6
472,32.6
10882,2.0
12785,14.6
2918,1.7000000000000002
5222,2.8000000000000003
12821,0.5
16640,5.5
20981,9.1
5866,0.9
4286,7.8000000000000025
14370,11.6
16403,11.6
15121,9.5
13495,3.1
20225,5.2
22267,0.9
6788,5.6000000000000005
16714,4.800000000000002
9483,2.5
9178,2.4000000000000004
380,1.9
17767,7.08
15888,9.6
16736,3.1
18361,15.2
6753,27.9
21647,0.04000000000000002
13962,19.08
15895,4.7
135,0.5
11886,1.5
11385,1.9000000000000004
6543,3.1
20133,2.9
13766,9.4
15127,0.8
8470,0.9
7908,15.1
17437,25.6
4745,2.1
15031,5.6000000000000005
14557,0.0
15739,2.2
9406,1.1
7603,1.2000000000000002
2584,29.8
12296,0.1
9547,22.9
2087,17.8
12307,2.5
8407,4.0
16105,5.1000000000000005
12660,7.6
3997,13.1
10125,1.1
6872,0.4
22293,3.5
22406,10.4
16265,0.30000000000000004
15949,27.20000000000001
3288,7.4
14067,32.260000000000005
11453,9.5
425,8.200000000000001
15666,14.4
19691,4.7
19127,4.7
22039,8.8
17040,5.300000000000002
12461,2.3000000000000003
21175,8.46
4693,20.000000000000004
20882,0.2
14183,5.2
17489,11.3
2531,0.8
10219,15.06
17333,4.6
12756,24.500000000000004
18600,0.1
21134,-0.4
15664,11.38
4111,0.6600000000000004
21226,9.1
13579,2.3
3214,3.8
29,1.5
21161,2.3000000000000003
1833,1.7000000000000002
17400,24.36
3658,18.4
21995,4.5
10519,1.1
21527,3.4000000000000004
18413,5.0
22325,14.5
13084,10.4
20705,9.0
2197,3.6000000000000005
18893,2.3000000000000003
18670,0.7000000000000001
14400,2.1
15943,0.30000000000000004
3162,1.3
2339,6.4
16494,8.0
16756,5.28
653,4.3
16302,1.8
15805,1.7000000000000002
3234,19.52
16115,2.7
9935,34.36
2726,1.0
1113,8.5
6879,11.9
19088,2.4000000000000004
18294,21.1
5026,0.9
373,7.4
2099,14.6
21766,1.7000000000000002
2993,11.5
17288,12.8
11443,24.58
9498,17.2
1275,20.8
22017,10.8
14465,1.3
21852,9.1
4304,1.6
20075,1.2000000000000002
13563,10.04
11842,25.5
2132,8.9
12381,7.5
7748,13.98
16935,21.9
19839,32.6
11406,0.7000000000000001
16104,20.0
19051,22.48
13504,2.6
19602,18.6
16116,1.9
862,6.7
14093,6.8000000000000025
9430,10.2
12594,12.2
8727,12.3
1720,0.8
17560,1.5
8950,5.1000000000000005
13129,1.9
20755,2.9000000000000004
12364,22.340000000000003
638,2.0
20096,0.7000000000000001
4132,29.2
4622,3.5
566,14.8
21516,-0.2
12774,4.9
21704,1.5
14307,13.5
20378,20.8
10186,0.4
14360,3.6
4464,14.3
1305,7.1000000000000005
5381,6.4
8349,6.7
5458,19.42
9541,26.42
4303,1.8
12579,6.5
15244,35.2
9427,8.200000000000001
8122,17.4
6329,1.6
11615,11.8
18513,11.8
7911,11.2
8309,4.2
15257,1.6
10446,21.200000000000006
10885,14.1
14786,3.4000000000000004
22129,7.2
1795,10.4
10193,27.4
21176,0.5
20756,1.8
1057,27.52
1964,11.52
2629,0.8
14883,2.4000000000000004
11140,1.2000000000000002
4816,0.7000000000000001
12439,0.5
7948,11.1
8054,0.7000000000000001
19763,6.9
7592,1.0
11986,0.4
8025,10.4
16060,6.3
19039,13.8
8900,3.4000000000000004
4800,6.1000000000000005
9071,4.300000000000002
17516,7.5
14375,2.7
2543,14.1
18861,4.5
3884,17.340000000000003
13726,4.1000000000000005
2275,10.7
10571,6.8000000000000025
10280,1.1
420,2.74
284,9.9
998,12.5
15302,28.0
13385,9.54
3181,3.5
5020,3.4000000000000004
7801,8.9
17123,1.8
20066,0.4
6422,2.3
14926,1.4
3834,0.9
20481,-0.4
13559,13.4
4768,2.5
5685,1.9
3245,2.6
4281,3.0
18966,7.0
4533,4.1000000000000005
20515,39.66
7588,16.6
16091,9.0
13514,24.6
18814,2.8000000000000003
9418,7.44
10533,-0.7000000000000001
13357,9.0
16243,18.02
19876,5.4
13700,2.3
160,36.24
5426,0.1
20356,6.4
19634,0.7000000000000001
15785,0.2
11512,2.8000000000000003
682,1.6
111,2.9000000000000004
5652,13.0
20542,12.5
15839,8.8
150,8.4
8673,2.6
8679,2.3000000000000003
17952,12.4
3411,11.6
14864,3.3000000000000003
10534,14.52
3977,3.4000000000000004
8485,5.9
11503,1.3
7515,19.8
13340,5.4
22222,6.2
18269,12.8
10250,5.1000000000000005
10425,2.6
9625,9.4
21433,3.7
4315,17.7
8542,6.1000000000000005
10953,3.3
13466,10.8
14943,9.4
2661,26.18
19668,5.8000000000000025
5702,21.320000000000004
7286,2.6
16893,3.6
3788,15.0
9253,5.5
15898,0.6000000000000001
13317,9.8
1276,3.1
19187,5.1000000000000005
6259,17.5
16539,10.4
11147,3.9
16689,9.7
16952,21.5
5942,-1.2
9056,2.3000000000000003
20199,11.4
116,4.3
17623,6.500000000000001
14703,30.02
20802,6.9
10612,22.20000000000001
14694,-0.30000000000000004
6687,12.3
1112,11.0
12562,9.9
6427,7.4
11899,3.08
15642,-0.8399999999999999
13928,16.279999999999998
6220,0.6000000000000001
16417,5.7
18046,8.0
20567,40.06
12162,4.6
3651,26.9
20743,29.44
1255,9.4
3684,1.8
13453,12.7
20077,0.2
21265,4.2
18609,12.2
16772,-0.7000000000000001
2481,8.0
16857,1.3
13724,45.48
9981,12.02
6903,12.5
15041,1.5
19502,0.30000000000000004
829,18.54
9595,10.72
1602,1.3
13963,2.4000000000000004
17728,3.9
3058,2.5
2778,14.0
20251,11.78
17050,24.12
13581,1.1
10777,8.86
10835,12.1
21470,2.6
15165,12.54
21342,30.6
21841,11.9
10981,2.8000000000000003
21944,22.46
19801,1.9
20394,1.6
20025,9.0
16954,9.0
17540,0.6000000000000001
16144,1.9
18998,9.6
10376,21.2
1921,19.9
13896,4.0
13525,0.7000000000000001
11945,1.4
14190,0.3000000000000003
22143,16.64
84,1.0
16879,0.5
9901,3.1
13694,11.0
3851,21.7
3938,12.500000000000002
15066,14.22
20845,0.4
9639,8.8
13985,0.9
16345,14.5
17078,4.2
10657,2.4000000000000004
2240,1.9
3496,13.0
21579,20.42
3607,12.9
17232,0.6000000000000001
17864,17.740000000000006
6153,5.300000000000002
1320,4.4
15976,3.9
12029,1.6
14127,0.7000000000000001
5380,10.2
5817,2.5
8354,0.6000000000000001
6115,5.9
14941,2.4000000000000004
20983,0.2
168,8.3
10926,0.7000000000000001
16024,14.0
18668,16.400000000000002
14469,5.700000000000001
20362,9.5
17021,15.0
9831,18.8
4950,1.0
9798,4.7
9529,2.5
398,2.9000000000000004
21838,0.7000000000000001
13988,3.1
12393,8.1
149,1.7000000000000002
3069,7.5
12799,3.6
9571,30.06
94,7.9
19110,7.4
8943,4.7
19645,3.5
1601,17.4
15877,1.3
7473,18.8
15220,40.96
10347,1.0
16067,3.9
1496,3.4000000000000004
21379,8.9
9252,3.6
7438,6.7
13674,11.9
20895,20.9
4885,1.8
5905,2.9000000000000004
15301,6.1000000000000005
14197,18.9
19410,1.1
13138,12.1
19935,21.98
18072,10.38
20831,4.1000000000000005
3746,5.0
22014,0.6000000000000001
11374,34.4
22208,4.2
21577,2.2
1675,22.2
9568,7.3
16162,0.5
4900,13.9
20403,27.3
1929,41.34
4901,3.7
18563,1.4
10480,11.9
13768,9.3
11710,2.7
11742,22.660000000000004
5568,12.0
1967,8.1
17464,14.2
12269,0.6000000000000001
7301,7.6
1634,15.6
14128,9.8
9093,0.8
6933,4.800000000000002
20455,5.0
13471,0.0
7315,25.3
11741,0.4
3318,11.8
20748,3.0
12385,26.840000000000003
1479,0.6000000000000001
622,13.2
6246,1.2000000000000002
926,5.7
1498,4.6000000000000005
19048,0.4
14962,3.0
22050,4.5
16885,0.5
13524,0.6000000000000001
11086,7.0
17628,0.8
16722,2.1
18889,38.3
15396,1.4
15015,-0.4
6848,3.2
20896,0.6000000000000001
12166,9.9
1332,24.92
10012,1.3
5149,2.3000000000000003
16495,7.0
14625,26.86000000000001
18508,0.9
2688,0.2
1714,13.9
14711,4.2
19402,7.9
2059,26.62
8214,9.4
11872,1.9
18371,10.400000000000002
17935,2.4000000000000004
19934,0.7000000000000001
5625,18.58
3855,0.30000000000000004
15584,3.4000000000000004
4113,19.3
10337,20.3
6049,3.5
18151,5.300000000000002
4785,5.2
2715,14.1
15750,18.9
17427,3.5
316,4.9
1923,20.9
9676,11.2
12051,2.4000000000000004
15530,10.2
14603,0.4
21460,0.5
13769,1.3
16851,16.6
21299,36.56
2818,1.6
13365,11.1
950,-0.1
7199,4.7
12405,2.4000000000000004
11747,0.1
16872,2.2
7974,7.1000000000000005
7356,5.9
30,0.0
12194,21.5
12247,3.3000000000000003
6977,8.7
1639,8.200000000000001
5200,3.4000000000000004
9144,1.6
10430,1.8
10157,11.4
6451,0.5
18536,2.2
19121,1.28
8756,4.5
4456,3.1
14817,2.0
7884,2.1
5927,5.4
10379,1.9
13938,6.9
15719,1.8
18571,25.0
15621,0.30000000000000004
10633,3.9
1965,7.1000000000000005
21895,4.1000000000000005
19482,8.8
1584,8.5
2025,15.4
18182,2.3000000000000003
19664,5.960000000000001
14582,19.0
18115,33.72
15219,15.4
3569,45.36
10466,19.800000000000004
4963,6.5
4127,17.4
2381,1.3
19985,1.5
16372,2.7
6056,15.7
2928,0.76
15060,6.6
12969,10.3
5836,5.1000000000000005
17536,10.3
20171,7.8
6954,5.0
8765,39.52
19805,17.0
6356,24.48
9767,12.4
10529,10.7
7026,1.1
9189,3.8
14826,2.4000000000000004
16742,0.7000000000000001
9263,0.9
7376,8.700000000000001
22122,0.4
14779,5.300000000000002
1593,4.800000000000002
2201,3.6
4383,6.4
700,5.0
16744,5.5
10551,23.4
17829,1.9
11482,6.8000000000000025
3693,1.5
6385,13.5
4029,0.4
6662,2.7
20221,20.0
3995,2.3000000000000016
12659,14.4
1314,2.1
17989,5.6000000000000005
764,12.6
15276,1.3
19799,14.8
4342,1.0
758,18.9
11247,1.4
14317,25.28
13034,20.94
20381,1.9000000000000004
13021,11.2
16971,9.6
21968,15.1
38,7.5
3613,2.2
1455,1.0
8355,0.8
3661,1.0
11965,18.9
5274,32.5
17435,0.8
7203,1.4
2894,12.1
21493,7.74
5046,2.9
13244,0.6000000000000001
11513,11.2
10669,6.32
8496,2.2
19112,32.2
21368,9.1
1053,2.5000000000000004
9619,1.4
19179,2.5
20228,13.3
9409,35.55999999999999
14747,26.9
21814,0.1
17155,6.5
6301,36.76
8873,6.6000000000000005
18718,11.8
2807,2.4000000000000004
16651,7.000000000000001
19228,3.1
9870,2.2
18114,26.3
17218,4.0
304,0.5
10201,15.640000000000002
18331,3.7
8170,11.2
8896,8.98
19357,2.0
8069,2.9000000000000004
9276,21.4
20047,2.0
18836,0.7000000000000001
252,1.9
12321,1.38
5082,18.4
15394,4.9
15985,40.52
511,9.1
9750,-6.16
15835,1.6
9052,2.7
12384,25.5
3333,7.2
21132,1.5
12395,0.6000000000000001
15703,6.8
20746,0.0
17904,0.5
10475,8.8
16350,28.20000000000001
750,0.9
22301,2.2
13934,7.9
2348,0.8
6074,18.700000000000006
10645,1.1
