,FAN_AVG,PASSCOMP_AVG,PASSYDS_300_AVG,RUSHATT_AVG,RUSHTD_AVG,FUMLST_AVG,TGTS_AVG,RECTD_AVG,WIN/TIE_AVG,OPP_PTS_AGT_AVG,HOME,DOME,GRASS,SUNDAY,POS_TE,POS_WR,MONTH_September,TIME_Night,TIME_Noon
560,3.038999490115971,2.1411806790436145,1.9915912834364087,1.233247115842283,3.023620575801774,1.391898824409623,-1.2468602949851162,-0.6659111648317544,1.7312630454085713,-1.228657371924136,1,0,1,1,0,0,0,1,0
561,-0.9971288948462828,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,1.391898824409623,0.46907555615850227,-0.6659111648317544,-0.8854301873139446,-1.5944588909259154,0,0,0,1,0,1,0,0,0
562,0.09382622528519442,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,0.46907555615850227,1.2451225493878813,-0.8854301873139446,-0.6342299035462445,1,0,0,1,0,1,0,0,1
563,2.3114257036788444,3.626473085353513,8.692231251105651,0.1721301914544153,-0.40580504998557293,4.9853924560305956,-1.2468602949851162,-0.6659111648317544,-0.8854301873139446,-0.679955093421467,0,1,0,1,0,0,0,0,1
564,1.2667043693075843,3.01062013639575,-0.2419553724533389,-0.2321048273600105,-0.40580504998557293,1.391898824409623,-1.2468602949851162,-0.6659111648317544,-0.013199109739772646,-2.0974359795533624,0,0,1,1,0,0,0,0,1
565,-0.9038502042774205,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,-0.3030955768561261,-0.6659111648317544,-1.7576612648881167,-0.5885047136710221,0,0,1,1,0,1,0,0,1
566,-1.2891317522792434,-0.358457760843776,-0.2419553724533389,-0.5184379656868954,-0.40580504998557293,1.990814429679785,-0.9036731247563926,-0.6659111648317544,0.8590319678343993,-0.26842838454446505,1,1,0,0,0,1,0,1,0
567,0.000547534716331886,-0.358457760843776,-0.2419553724533389,0.4247770782134314,-0.40580504998557293,1.391898824409623,1.1554498966159497,-0.6659111648317544,-0.8854301873139446,1.560579210464432,0,0,1,1,0,1,0,0,1
568,-1.2080198474367543,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,-0.5604859545276688,-0.6659111648317544,-1.7576612648881167,-0.679955093421467,1,0,1,1,1,0,1,0,0
569,1.192892535900921,-0.358457760843776,-0.2419553724533389,-0.5352810914708298,-0.40580504998557293,-0.4048479914008634,2.5281985775308446,1.2451225493878813,-0.8854301873139446,-0.6342299035462445,1,1,0,1,0,1,0,1,0
570,0.3168839636020392,-0.358457760843776,-0.2419553724533389,-0.5352810914708298,-0.40580504998557293,-0.4048479914008634,1.3270434817303116,1.2451225493878813,1.7312630454085713,-0.5427795237957996,0,0,1,1,0,1,0,0,1
571,-1.0944631806572696,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,-0.9036731247563926,-0.6659111648317544,-0.8854301873139446,-0.6342299035462445,0,0,0,1,0,1,1,0,0
572,-0.34012246562212073,-0.358457760843776,-0.2419553724533389,1.2837764931940863,-0.40580504998557293,-0.4048479914008634,-0.3030955768561261,-0.6659111648317544,0.8590319678343993,-0.679955093421467,1,1,0,1,0,0,0,0,1
573,-0.4171787752224864,-0.358457760843776,-0.2419553724533389,1.6374821346567088,-0.40580504998557293,-0.4048479914008634,-0.6462827470848498,-0.6659111648317544,-0.8854301873139446,-0.13125281491879778,0,0,1,1,0,0,0,0,0
574,-0.9322393709722916,-0.358457760843776,-0.2419553724533389,-0.5184379656868954,-0.40580504998557293,-0.4048479914008634,-0.6748816779372434,-0.6659111648317544,0.8590319678343993,0.7375257927104284,1,0,1,1,0,0,0,0,1
575,-1.0782407996887717,-0.358457760843776,-0.2419553724533389,-0.18157545000820727,-0.40580504998557293,-0.4048479914008634,-0.9036731247563926,-0.6659111648317544,-1.7576612648881167,-1.5487337010506932,0,0,1,1,0,0,0,0,1
576,1.0468911071844411,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,2.0134178221877588,2.200639406497699,-0.8854301873139446,-0.8171306630471342,0,0,0,1,0,1,0,0,1
577,-0.5915693706338377,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,0.812262726387226,-0.6659111648317544,-1.7576612648881167,0.9661517420865405,1,0,1,1,0,1,0,0,0
578,-0.9119613947616694,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,-0.7320795396420307,-0.6659111648317544,-0.8854301873139446,-0.3141535744196875,0,0,1,1,0,1,1,0,1
579,0.5277749161925107,-0.358457760843776,-0.2419553724533389,1.0311296064350701,4.166762451064223,-0.4048479914008634,-1.2468602949851162,-0.6659111648317544,0.8590319678343993,0.4631746534590938,0,1,0,1,0,0,0,0,1
580,-0.5550690134547177,-0.358457760843776,-0.2419553724533389,-0.18157545000820727,-0.40580504998557293,-0.4048479914008634,-1.1610635024279354,0.2896056922780635,-0.013199109739772646,0.7832509825856508,0,1,0,1,0,0,0,0,1
581,-0.315788894169375,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,-0.04570519918458329,1.2451225493878813,-0.013199109739772646,0.6460754129599835,1,0,1,1,0,1,0,0,0
582,-0.19006544166351638,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,0.9838563115015878,0.2896056922780635,-0.8854301873139446,0.8747013623360956,1,0,1,1,0,1,0,0,1
583,-0.23873258456901078,-0.358457760843776,-0.2419553724533389,-0.5858104688226331,-0.40580504998557293,-0.4048479914008634,1.0696531040587687,-0.6659111648317544,-1.7576612648881167,-0.9543062326728015,1,0,1,1,1,0,0,0,1
